symbol,sector,industry,price
DHX,Technology Services,Internet Software/Services,
EOS,Miscellaneous,Investment Trusts/Mutual Funds,
MOD,Producer Manufacturing,Auto Parts: OEM,
APL,Health Technology,Medical Specialties,
HNP,Utilities,Electric Utilities,
CS,Finance,Major Banks,
PTC,Technology Services,Packaged Software,
LOPE,Commercial Services,Miscellaneous Commercial Services,
DM,Miscellaneous,Investment Trusts/Mutual Funds,
STAY,Consumer Services,Hotels/Resorts/Cruise lines,
SWN,Energy Minerals,Oil & Gas Production,
BXMX,Miscellaneous,Investment Trusts/Mutual Funds,
INGR,Process Industries,Agricultural Commodities/Milling,
NBTB,Finance,Regional Banks,
INN,Finance,Real Estate Investment Trusts,
FLC,Miscellaneous,Investment Trusts/Mutual Funds,
GPN,Technology Services,Data Processing Services,
NWLI,Finance,Life/Health Insurance,
CXP,Finance,Real Estate Investment Trusts,
CCNE,Finance,Regional Banks,
DF,Miscellaneous,Investment Trusts/Mutual Funds,
ERIE,Finance,Property/Casualty Insurance,
IPAR,Consumer Non-Durables,Household/Personal Care,
CRS,Non-Energy Minerals,Steel,
BIE,Consumer Non-Durables,Food: Specialty/Candy,
TRNO,Finance,Real Estate Investment Trusts,
XLS,Commercial Services,Miscellaneous Commercial Services,
NEA,Miscellaneous,Investment Trusts/Mutual Funds,
DDR,Distribution Services,Electronics Distributors,
NOW,Technology Services,Information Technology Services,
XLNX,Electronic Technology,Semiconductors,
CYH,Health Services,Hospital/Nursing Management,
FI,Industrial Services,Oilfield Services/Equipment,
AJG,Finance,Insurance Brokers/Services,
RAI,Consumer Durables,Homebuilding,
HCA,Health Services,Hospital/Nursing Management,
WCG,Technology Services,Internet Software/Services,
EDIT,Health Technology,Biotechnology,
SNH,Retail Trade,Specialty Stores,
NXP,Miscellaneous,Investment Trusts/Mutual Funds,
LEJU,Finance,Real Estate Development,
FRGI,Consumer Services,Restaurants,
SJI,Utilities,Gas Distributors,
WF,Finance,Major Banks,
MHK,Consumer Durables,Home Furnishings,
TY,Miscellaneous,Investment Trusts/Mutual Funds,
BNS,Finance,Major Banks,
WTBA,Finance,Financial Conglomerates,
LBRDK,Consumer Services,Cable/Satellite TV,
AEP,Utilities,Electric Utilities,
TLM,Non-Energy Minerals,Other Metals/Minerals,
MTN,Consumer Services,Hotels/Resorts/Cruise lines,
VR,Energy Minerals,Oil & Gas Production,
HIL,Industrial Services,Engineering & Construction,
DCOM,Finance,Savings Banks,
INFI,Health Technology,Biotechnology,
